no,productno ,colour,size,crossreference,description,brandid,brandname,brandlineid,brandlinename,img1,img2,img3,img4,img5,img6,composition,countryoforigin,genderid,gendername,ageclassid,ageclassname,seasonid,seasonname,seasonyear,productcategoryid,productcategoryname,productgroupcodeid,productgroupcodename,colorname,colorhex
071139709,50514443,131,XXL,4063542383860,KËMISHË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542383860_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542383860_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542383860_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542383860_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063542383860_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063542383860_5.jpg,100% Lyocell, Turkey,1,male,1,Newborn,1,Spring/Summer,2024,1,Apparel,101,Shirts,,
071158117,50521187,490,43,4063543421103,KËMISHË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543421066_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_5.jpg,100% Cotton, Bangladesh,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,101,Shirts,,
071157897,50520298,100,XL,4063543444164,MAICË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543444072_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_5.jpg,100% Cotton, Bangladesh,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,102,T-shirts,BLACK,#000000
071158115,50521187,490,41,4063543421080,KËMISHË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543421066_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543421066_5.jpg,100% Cotton, Bangladesh,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,101,Shirts,,
071157890,50520298,001,M,4063543443624,MAICË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543443556_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_5.jpg,100% Cotton, Bangladesh,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,102,T-shirts,BLACK,#000000
071139381,50468347,459,S,4063542052544,MAICË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542052575_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052575_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052575_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052575_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052575_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052575_5.jpg,100% Cotton, Pakistan,1,male,1,Newborn,1,Spring/Summer,2025,1,Apparel,102,T-shirts,LIGHT/PASTEL BLUE,#B0E0E6
071157807,50522431,001,M,4063542792532,MAICË POLO,7086,BOSS,106,BOSS GREEN,http://91.187.98.69:8001/07/2615/Published/4063542792532_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542792532_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542792532_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542792532_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063542792532_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063542792532_5.jpg,92% Cotton 8% Elastane, Peru,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,103,Polos,BLACK,#000000
071139211,50507583,402,M,4063541377945,MAICË POLO,7086,BOSS,106,BOSS GREEN,http://91.187.98.69:8001/07/2615/Published/4063541377945_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063541377945_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063541377945_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063541377945_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063541377945_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063541377945_5.jpg,100% Cotton, Bangladesh,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,103,Polos,DARK BLUE,#00008B
071150988,50521908,404,48,4063542848420,KOSTUMË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542848420_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542848420_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542848420_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542848420_4.jpg,,,100% Virgin wool, Turkey,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,128,Suits,DARK BLUE,#00008B
071147511,50513692,441,31,4063542366573,XHINSE,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542366757_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366757_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366757_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366757_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366757_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366757_5.jpg,100% Cotton, Morocco,1,male,1,Newborn,1,Spring/Summer,2024,1,Apparel,105,Jeans,TURQUOISE/AQUA,#40E0D0
071158244,50520181,001,43,4063543262898,ATLETE,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543262898_1.jpg,,,,,,Lining  100% Calfskin Upper material  100% Calfskin Innersole  100% Calfskin Sole  100% Rubber Linin, Italy,1,male,1,Newborn,2,Fall/Winter,2024,2,Footwear,209,Sneakers,BLACK,#000000
071158144,50504315,406,ONESI,4063542801975,QANTË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542801975_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542801975_2.jpg,,,,,100% Polyester (recycled), China,1,male,1,Newborn,2,Fall/Winter,2024,3,Accessories,301,Bags,DARK BLUE,#00008B
071148431,S74GU0814,BLACK,L,8054148608118,B.DUKS ,7072,DSQUARED2,7072,DSQUARED2,http://91.187.98.69:8001/07/2660/Published/8054148608118_2.jpg.jpg,http://91.187.98.69:8001/07/2660/Published/8054148608118_1.jpg,http://91.187.98.69:8001/07/2660/Published/8054148608118_3.jpg,,,,100% CO,IT,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,114,Sweatshirts,,
071158129,50516542,001,L,4063542445902,TË BRENDSHME,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542445933_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542445933_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542445933_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542445933_4.jpg,,,57% Cotton 38% Polyester 5% Elastane, Pakistan,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,117,Underwear,BLACK,#000000
071159537,50524084,411,33,4063543048096,XHINSE,7086,BOSS,130,BOSS ORANGE,http://91.187.98.69:8001/07/2615/Published/4063543048096_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_5.jpg,92% Cotton 6% Polyester 2% Elastane, Egypt,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,105,Jeans,,
071150888,50509835,438,54,4063542232632,XHAKETË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063541057199_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063541057199_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063541057199_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063541057199_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063541057199_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063541057199_5.jpg,100% Polyester, Indonesia,1,male,1,Newborn,1,Spring/Summer,2024,1,Apparel,107,Jackets,BRIGHT BLUE,#1E90FF
071163407,50468239,131,M,4063534373343,PULLOVER,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063535329967_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329967_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329967_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329967_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329967_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329967_5.jpg,100% Virgin wool, Turkey,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,109,Sweaters,,
071139374,50468347,373,L,4063542052247,MAICË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542052285_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052285_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052285_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052285_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052285_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063542052285_5.jpg,100% Cotton, Pakistan,1,male,1,Newborn,1,Spring/Summer,2025,1,Apparel,102,T-shirts,,
071150957,50521948,404,48,4063542848437,KOSTUMË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543551992_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543551992_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543551992_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543551992_4.jpg,,,77% Virgin wool 18% Polyamide 5% Elastane, Turkey,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,128,Suits,DARK BLUE,#00008B
071163724,50534517,131,48,4063544715706,XHAKETË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063544715706_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063544715706_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063544715706_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063544715706_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063544715706_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063544715706_5.jpg,98% Virgin wool 2% Elastane, Bulgaria,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,107,Jackets,,
071151356,50520119,490,S,4063543352285,KËMISHË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543352285_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543352285_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543352285_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543352285_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543352285_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543352285_5.jpg,86% Polyester (recycled) 14% Elastane, Vietnam,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,101,Shirts,,
071155060,FADC MJO1253 PJY002N,14,S,4063443125927,B.MAICE PP,7028,PHILIPP PLEIN,7028,PHILIPP PLEIN,http://91.187.98.69:8001/07/2660/Published/4063443125927_2.jpg,http://91.187.98.69:8001/07/2660/Published/4063443125927_3.jpg,http://91.187.98.69:8001/07/2660/Published/4063443125927_1.jpg,,,,FABRIC #1: 100% COTTON,Itali,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,102,T-shirts,,
071157656,50513623,439,34-34,4063542359001,XHINSE,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542359032_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_5.jpg,92% Cotton 6% Elastomultiester 2% Elastane, Morocco,1,male,1,Newborn,1,Spring/Summer,2024,1,Apparel,105,Jeans,BRIGHT BLUE,#1E90FF
071139437,50513688,032,34,4063542366368,XHINSE,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542366368_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366368_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366368_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366368_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366368_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063542366368_5.jpg,100% Cotton, Tunisia,1,male,1,Newborn,1,Spring/Summer,2024,1,Apparel,105,Jeans,MEDIUM GREY,#808080
071163306,50520556,426,36,4063543468764,XHINSE,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543468658_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543468658_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543468658_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543468658_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543468658_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543468658_5.jpg,100% Cotton, Morocco,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,105,Jeans,MEDIUM BLUE,#0000CD
071163417,50468262,002,XXL,4063535341747,PULLOVER,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063535341587_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063535341587_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063535341587_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063535341587_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063535341587_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063535341587_5.jpg,100% Virgin wool, Turkey,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,109,Sweaters,BLACK,#000000
071139702,50475284,961,XXL,4063535141712,MAICA TË MBRENDSHME,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063535141705_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063535141705_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063535141705_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063535141705_4.jpg,,,100% Cotton, Bangladesh,1,male,1,Newborn,1,Spring/Summer,2024,3,Accessories,321,Undershirts,OPEN MISCELLANEOUS,#CCCCCC
071157775,50519368,100,S,4063543080447,MAICË,7086,BOSS,106,BOSS GREEN,http://91.187.98.69:8001/07/2615/Published/4063543080447_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543080447_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543080447_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543080447_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543080447_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543080447_5.jpg,100% Cotton, Pakistan,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,102,T-shirts,BLACK,#000000
071163699,50528131,030,56,4063544664080,PALLTO,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063544664066_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063544664066_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063544664066_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063544664066_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063544664066_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063544664066_5.jpg,54% Acrylic 25% Virgin wool 21% Polyester, Turkey,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,112,Coats,MEDIUM GREY,#808080
071157657,50513623,439,35-32,4063542359032,XHINSE,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542359032_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063542359032_5.jpg,92% Cotton 6% Elastomultiester 2% Elastane, Morocco,1,male,1,Newborn,1,Spring/Summer,2024,1,Apparel,105,Jeans,BRIGHT BLUE,#1E90FF
071146027,50490740,001,M,4063537074988,B.KEMISHE,7057,HUGO,132,HUGO RED,http://91.187.98.69:8001/07/2615/Published/4063537074988_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_5.jpg,100% Cotton, India,1,male,8,Adult,1,Spring/Summer,2025,1,Apparel,101,Shirts,BLACK,#000000
071158105,50517828,982,S,4063543102934,TË BRENDSHME,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543102934_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543102934_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543102934_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543102934_4.jpg,,,95% Cotton 5% Elastane, Sri Lanka,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,117,Underwear,OPEN MISCELLANEOUS,#CCCCCC
071163722,50527969,131,52,4063544641920,PANTALLONA,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063544641920_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063544641920_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063544641920_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063544641920_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063544641920_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063544641920_5.jpg,98% Virgin wool 2% Elastane, Turkey,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,104,Trousers,,
071158159,50518880,001,ONESI,4063542714756,KAPELË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542714756_1.jpg,,,,,,Lining / Sweatband  100% Cotton Quality  70% Wool 25% Polyamide 5% Other fibres, Bangladesh,1,male,1,Newborn,2,Fall/Winter,2024,3,Accessories,305,Hats,BLACK,#000000
071157881,50520297,404,S,4063543442825,MAICË POLO,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543442832_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442832_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442832_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442832_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442832_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442832_5.jpg,100% Cotton, Bangladesh,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,103,Polos,DARK BLUE,#00008B
071157884,50520297,001,L,4063543442603,MAICË POLO,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543442634_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442634_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442634_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442634_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442634_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543442634_5.jpg,100% Cotton, Bangladesh,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,103,Polos,BLACK,#000000
071147486,50512899,450,45,4063542342614,KËMISHË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542342614_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542342614_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063542342614_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063542342614_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063542342614_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063542342614_5.jpg,96% Cotton 4% Elastane, Turkey,1,male,1,Newborn,1,Spring/Summer,2024,1,Apparel,101,Shirts,LIGHT/PASTEL BLUE,#B0E0E6
071157891,50520298,001,S,4063543443679,MAICË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543443556_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543443556_5.jpg,100% Cotton, Bangladesh,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,102,T-shirts,BLACK,#000000
071160559,GO06747E2,CG3,42,8053686198495,F.FUND,7070,ELISABETTA FRANCHI,7070,ELISABETTA FRANCHI,http://91.187.98.69:8001/07/2660/Published/8053686198495_3.jpg,http://91.187.98.69:8001/07/2660/Published/8053686198495_2.jpg,http://91.187.98.69:8001/07/2660/Published/8053686198495_1.jpg,,,,37%PL34%VI11%WV09%PC,Itali,2,female,2,Infant,2,Fall/Winter,2024,1,Apparel,126,Skirts,,
071157898,50520298,100,XXL,4063543444263,MAICË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543444072_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543444072_5.jpg,100% Cotton, Bangladesh,1,male,8,Adult,2,Fall/Winter,2025,1,Apparel,102,T-shirts,BLACK,#000000
071158085,50475275,001,S,4063535098399,TË BRENDSHME,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063535098399_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063535098399_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063535098399_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063535098399_4.jpg,,,95% Cotton 5% Elastane, Vietnam,1,male,1,Newborn,3,NOS,,1,Apparel,117,Underwear,BLACK,#000000
071151576,50501097,100,S,4063539325637,MAICË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063539325637_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063539325637_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063539325637_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063539325637_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063539325637_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063539325637_5.jpg,100% Cotton, Bangladesh,1,male,1,Newborn,1,Spring/Summer,2025,1,Apparel,102,T-shirts,BLACK,#000000
071163405,50468239,002,XXL,4063535329363,PULLOVER,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063535329363_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329363_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329363_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329363_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329363_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063535329363_5.jpg,100% Virgin wool, Turkey,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,109,Sweaters,BLACK,#000000
071155056,FADC MJO1253 PJY002N,02,S,4063443125385,B.MAICE PP,7028,PHILIPP PLEIN,7028,PHILIPP PLEIN,http://91.187.98.69:8001/07/2660/Published/4063443125385_2.jpg,http://91.187.98.69:8001/07/2660/Published/4063443125385_3.jpg,http://91.187.98.69:8001/07/2660/Published/4063443125385_1.jpg,,,,FABRIC #1: 100% COTTON,Itali,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,102,T-shirts,,
071172521,50529313,001,ONESI,4063542969705,QANTË,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063542969705_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063542969705_2.jpg,,,,,100% Bonded leather, Vietnam,1,male,1,Newborn,2,Fall/Winter,2024,3,Accessories,301,Bags,BLACK,#000000
071146028,50490740,001,L,4063537074971,B.KEMISHE,7057,HUGO,132,HUGO RED,http://91.187.98.69:8001/07/2615/Published/4063537074988_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063537074988_5.jpg,100% Cotton, India,1,male,8,Adult,1,Spring/Summer,2025,1,Apparel,101,Shirts,BLACK,#000000
071159536,50524084,411,32,4063542808905,XHINSE,7086,BOSS,130,BOSS ORANGE,http://91.187.98.69:8001/07/2615/Published/4063543048096_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063543048096_5.jpg,92% Cotton 6% Polyester 2% Elastane, Egypt,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,105,Jeans,,
071172572,50523113,464,43,4063544316439,ATLETE,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063543199040_1.jpg,,,,,,Lining 85% Polyester 15% Polyurethane Lining 100% Polyester Lining 100% Polyester (85% recycled) Sol, Vietnam,1,male,1,Newborn,2,Fall/Winter,2024,2,Footwear,209,Sneakers,OPEN BLUE,#ADD8E6
071163413,50468239,385,S,4063544092395,PULLOVER,7086,BOSS,101,BOSS BLACK,http://91.187.98.69:8001/07/2615/Published/4063544092395_1.jpg,http://91.187.98.69:8001/07/2615/Published/4063544092395_2.jpg,http://91.187.98.69:8001/07/2615/Published/4063544092395_3.jpg,http://91.187.98.69:8001/07/2615/Published/4063544092395_4.jpg,http://91.187.98.69:8001/07/2615/Published/4063544092395_5.jpg,http://91.187.98.69:8001/07/2615/Published/4063544092395_5.jpg,100% Virgin wool, Turkey,1,male,1,Newborn,2,Fall/Winter,2024,1,Apparel,109,Sweaters,OPEN GREEN,#90EE90
